BIPA	Americanist	Description	Note	Change
ʛ̊	ʠ		Withdrawn 1993
ʛ	ɡ̣ˤ		y	
ʛ	g̣ˤ		y	
ʛ	ɡ̣̓		y	
ʛ	g̣̓		y	
#Clicks
ʘ	p‹		y	
ɡ͡ʘ	b‹		y	
ǀ	t̯̯‹		y	
ɡ͡ǀ	d̯̯‹		y	
ǃ	t‹		y	
ɡ͡!	d‹		y
!!	ṭ‹		y
‼̬	ḍ‹		Non-Standard	
#Affricates
p͡ɸ	pp̶		y	
b͡β	bb̶		y	
p͡f	pf		y	
b͡v	bv		y	
t͡θ	tθ		y	
d̪͡ð	dd̶		y	
#Grooved Affricate
t̪͡s̪	t̯s̯		y	
d̪͡z̪	d̯z̯		y	
t͡s	ts		y	
t͡s	t͡s		y
t͡s	ȼ		y
t͡s	ts		y	
d͡z	dz		y	
d͡z	d͡z		y	
ʈ͡ʂ	ṭṣ		y	
ʈ͡ʂ	č̣		y	
ɖ͡ʐ	ḍẓ		y	
t͡ʃ	č		y	
t͡ʃ	tš		y	
d͡ʒ	dž		y
d͡ʒ	ǰ		y
d͡ʒ	ǧ		y
d͡ʒ	ǯ		y
ʈ͡ᶘ	ṭṣ̌		y	
ɖ͡ᶚ	ḍẓ̌		y	
#Other Affricates
ƛ	t͡ɬ		y
t͡ɕ	t͡ɕ		y	
d͡ʑ	d͡ʑ		y	
#Other	
ʍ	ʍ		Borrow	
j	Y		y	
w̥	W		y	
w	w		y	
ɥ	ɥ		Borrow	
ʜ	ʜ		Borrow	
ʢ	ʢ		Borrow	
ʡ	ʡ		Borrow
ɧ	ɧ		Borrow	
ǂ	ƫ‹		y	
ǁ	ƚ‹		y	
ɺ			n	
ɕ			n	
ʑ			n	
#Leftovers
d͡l	d͡l		y
d͡ɮ	λ		y	
ǂ	ǂ		n	
sʼ	sʼ		n	
ᵃ	ᵃ		n	
ʼ	ʼ		n	
̃	̧		Nasalized Diacritic	
ː	:		n	
